id,existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification
512, moderate,15, existing credits paid back duly till now, business,2687, little, 4 to 7 years,2," male, single", none,4, building society savings agreement/ life insurance,26, none, rent,1, skilled employee / official,1, yes, yes,1
513, little,12, delay in paying off in the past, radio/television,585, little, 1 to 4 years,4," male, married/widowed", co-applicant,4, real estate,20, none, rent,2, skilled employee / official,1, none, yes,1
514, no checking account,24, existing credits paid back duly till now, car (new),2255, unknown/ no savings account, less than 1 year,4," male, single", none,1, building society savings agreement/ life insurance,54, none, own,1, skilled employee / official,1, none, yes,1
515, poor,6, critical account/ other credits existing (not at this bank), car (new),609, little, 4 to 7 years,4," female, divorced/separated/married", none,3, building society savings agreement/ life insurance,37, none, own,2, skilled employee / official,1, none, no,1
516, poor,6, critical account/ other credits existing (not at this bank), car (new),1361, little, less than 1 year,2," male, single", none,4, real estate,40, none, own,1, unskilled - resident,2, none, no,1
517, no checking account,36, critical account/ other credits existing (not at this bank), furniture/equipment,7127, little, less than 1 year,2," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,23, none, rent,2, skilled employee / official,1, yes, yes,2
518, poor,6, existing credits paid back duly till now, car (new),1203, moderate, more than 7 years,3," male, single", none,2, building society savings agreement/ life insurance,43, none, own,1, skilled employee / official,1, yes, yes,1
519, no checking account,6, critical account/ other credits existing (not at this bank), radio/television,700, unknown/ no savings account, more than 7 years,4," male, single", none,4, unknown / no property,36, none, for free,2, skilled employee / official,1, none, yes,1
520, no checking account,24, critical account/ other credits existing (not at this bank), repairs,5507, little, more than 7 years,3," male, single", none,4, unknown / no property,44, none, for free,2, skilled employee / official,1, none, yes,1
521, poor,18, existing credits paid back duly till now, radio/television,3190, little, 1 to 4 years,2," female, divorced/separated/married", none,2, real estate,24, none, own,1, skilled employee / official,1, none, yes,2
522, poor,48, no credits taken/ all credits paid back duly, furniture/equipment,7119, little, 1 to 4 years,3," male, single", none,4, unknown / no property,53, none, for free,2, skilled employee / official,2, none, yes,2
523, no checking account,24, existing credits paid back duly till now, car (used),3488, moderate, 4 to 7 years,3," female, divorced/separated/married", none,4," car or other, not in attribute 6",23, none, own,1, skilled employee / official,1, none, yes,1
524, little,18, existing credits paid back duly till now, radio/television,1113, little, 1 to 4 years,4," female, divorced/separated/married", guarantor,4, real estate,26, none, own,1, unskilled - resident,2, none, yes,1
525, little,26, existing credits paid back duly till now, car (used),7966, little, less than 1 year,2," male, single", none,3," car or other, not in attribute 6",30, none, own,2, skilled employee / official,1, none, yes,1
526, no checking account,15, critical account/ other credits existing (not at this bank), education,1532, moderate, 1 to 4 years,4," female, divorced/separated/married", none,3," car or other, not in attribute 6",31, none, own,1, skilled employee / official,1, none, yes,1
527, no checking account,4, critical account/ other credits existing (not at this bank), radio/television,1503, little, 4 to 7 years,2," male, single", none,1, real estate,42, none, own,2, unskilled - resident,2, none, yes,1
528, poor,36, existing credits paid back duly till now, radio/television,2302, little, 1 to 4 years,4," male, divorced/separated", none,4," car or other, not in attribute 6",31, none, rent,1, skilled employee / official,1, none, yes,2
529, poor,6, existing credits paid back duly till now, car (new),662, little, less than 1 year,3," male, single", none,4, real estate,41, none, own,1, unskilled - resident,2, yes, yes,1
530, little,36, existing credits paid back duly till now, education,2273, little, 4 to 7 years,3," male, single", none,1," car or other, not in attribute 6",32, none, own,2, skilled employee / official,2, none, yes,1
531, little,15, existing credits paid back duly till now, car (new),2631, moderate, 1 to 4 years,2," female, divorced/separated/married", none,4," car or other, not in attribute 6",28, none, rent,2, skilled employee / official,1, yes, yes,2
532, no checking account,12, delay in paying off in the past, car (used),1503, little, 1 to 4 years,4," male, married/widowed", none,4, real estate,41, none, rent,1, skilled employee / official,1, none, yes,1
533, no checking account,24, existing credits paid back duly till now, radio/television,1311, moderate, 4 to 7 years,4," male, married/widowed", none,3, building society savings agreement/ life insurance,26, none, own,1, skilled employee / official,1, yes, yes,1
534, no checking account,24, existing credits paid back duly till now, radio/television,3105, unknown/ no savings account, less than 1 year,4," male, single", none,2," car or other, not in attribute 6",25, none, own,2, skilled employee / official,1, none, yes,1
535, moderate,21, critical account/ other credits existing (not at this bank), education,2319, little, less than 1 year,2," male, divorced/separated", none,1," car or other, not in attribute 6",33, none, rent,1, skilled employee / official,1, none, yes,2
536, poor,6, existing credits paid back duly till now, car (new),1374, unknown/ no savings account, unemployed,4," female, divorced/separated/married", none,3, building society savings agreement/ life insurance,75, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
537, little,18, critical account/ other credits existing (not at this bank), furniture/equipment,3612, little, more than 7 years,3," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,37, none, own,1, skilled employee / official,1, yes, yes,1
538, poor,48, existing credits paid back duly till now, car (new),7763, little, more than 7 years,4," male, single", none,4, unknown / no property,42," bank,", for free,1, management/ self-employed/highly qualified employee/ officer,1, none, yes,2
539, moderate,18, existing credits paid back duly till now, furniture/equipment,3049, little, less than 1 year,1," female, divorced/separated/married", none,1, building society savings agreement/ life insurance,45, stores, own,1, unskilled - resident,1, none, yes,1
540, little,12, existing credits paid back duly till now, radio/television,1534, little, less than 1 year,1," male, married/widowed", none,1, real estate,23, none, rent,1, skilled employee / official,1, none, yes,2
541, no checking account,24, delay in paying off in the past, car (new),2032, little, more than 7 years,4," male, single", none,4, unknown / no property,60, none, for free,2, skilled employee / official,1, yes, yes,1
542, poor,30, existing credits paid back duly till now, furniture/equipment,6350, unknown/ no savings account, more than 7 years,4," male, single", none,4, building society savings agreement/ life insurance,31, none, own,1, skilled employee / official,1, none, yes,2
543, moderate,18, existing credits paid back duly till now, furniture/equipment,2864, little, 1 to 4 years,2," male, single", none,1, real estate,34, none, own,1, unskilled - resident,2, none, yes,2
544, no checking account,12, critical account/ other credits existing (not at this bank), car (new),1255, little, more than 7 years,4," male, single", none,4, real estate,61, none, own,2, unskilled - resident,1, none, yes,1
545, poor,24, delay in paying off in the past, car (new),1333, little, unemployed,4," male, single", none,2, real estate,43, none, for free,2, skilled employee / official,2, none, yes,2
546, no checking account,24, critical account/ other credits existing (not at this bank), car (new),2022, little, 1 to 4 years,4," female, divorced/separated/married", none,4," car or other, not in attribute 6",37, none, own,1, skilled employee / official,1, yes, yes,1
547, no checking account,24, existing credits paid back duly till now, radio/television,1552, little, 4 to 7 years,3," male, single", none,1," car or other, not in attribute 6",32," bank,", own,1, skilled employee / official,2, none, yes,1
548, poor,12, all credits at this bank paid back duly, radio/television,626, little, 1 to 4 years,4," female, divorced/separated/married", none,4, real estate,24," bank,", own,1, unskilled - resident,1, none, yes,2
549, no checking account,48, critical account/ other credits existing (not at this bank), car (used),8858, unknown/ no savings account, 4 to 7 years,2," male, single", none,1, unknown / no property,35, none, for free,2, skilled employee / official,1, yes, yes,1
550, no checking account,12, critical account/ other credits existing (not at this bank), repairs,996, unknown/ no savings account, 4 to 7 years,4," female, divorced/separated/married", none,4, real estate,23, none, own,2, skilled employee / official,1, none, yes,1
551, no checking account,6, all credits at this bank paid back duly, radio/television,1750, quite rich, more than 7 years,2," male, single", none,4, building society savings agreement/ life insurance,45," bank,", own,1, unskilled - resident,2, none, yes,1
552, poor,48, existing credits paid back duly till now, radio/television,6999, little, 4 to 7 years,1," male, married/widowed", guarantor,1, real estate,34, none, own,2, skilled employee / official,1, yes, yes,2
553, little,12, critical account/ other credits existing (not at this bank), car (new),1995, moderate, less than 1 year,4," male, single", none,1," car or other, not in attribute 6",27, none, own,1, skilled employee / official,1, none, yes,1
554, little,9, existing credits paid back duly till now, education,1199, little, 4 to 7 years,4," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,67, none, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
555, little,12, existing credits paid back duly till now, radio/television,1331, little, less than 1 year,2," male, single", none,1," car or other, not in attribute 6",22, stores, own,1, skilled employee / official,1, none, yes,2
556, little,18, no credits taken/ all credits paid back duly, car (new),2278, moderate, less than 1 year,3," female, divorced/separated/married", none,3," car or other, not in attribute 6",28, none, own,2, skilled employee / official,1, none, yes,2
557, no checking account,21, no credits taken/ all credits paid back duly, car (new),5003, unknown/ no savings account, 1 to 4 years,1," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,29," bank,", own,2, skilled employee / official,1, yes, yes,2
558, poor,24, all credits at this bank paid back duly, furniture/equipment,3552, little, 4 to 7 years,3," male, single", none,4," car or other, not in attribute 6",27," bank,", own,1, skilled employee / official,1, none, yes,2
559, little,18, critical account/ other credits existing (not at this bank), furniture/equipment,1928, little, less than 1 year,2," male, single", none,2, real estate,31, none, own,2, unskilled - resident,1, none, yes,2
560, poor,24, existing credits paid back duly till now, car (used),2964, unknown/ no savings account, more than 7 years,4," male, single", none,4, unknown / no property,49," bank,", for free,1, skilled employee / official,2, yes, yes,1
561, poor,24, all credits at this bank paid back duly, radio/television,1546, little, 4 to 7 years,4," male, single", guarantor,4," car or other, not in attribute 6",24," bank,", rent,1, unskilled - resident,1, none, yes,2
562, moderate,6, delay in paying off in the past, radio/television,683, little, less than 1 year,2," female, divorced/separated/married", none,1, building society savings agreement/ life insurance,29," bank,", own,1, skilled employee / official,1, none, yes,1
563, little,36, existing credits paid back duly till now, car (new),12389, unknown/ no savings account, 1 to 4 years,1," male, single", none,4, unknown / no property,37, none, for free,1, skilled employee / official,1, yes, yes,2
564, little,24, delay in paying off in the past, business,4712, unknown/ no savings account, 1 to 4 years,4," male, single", none,2, building society savings agreement/ life insurance,37," bank,", own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
565, little,24, delay in paying off in the past, radio/television,1553, moderate, 4 to 7 years,3," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,23, none, rent,2, skilled employee / official,1, yes, yes,1
566, poor,12, existing credits paid back duly till now, car (new),1372, little, 4 to 7 years,2," male, divorced/separated", none,3," car or other, not in attribute 6",36, none, own,1, skilled employee / official,1, none, yes,2
567, no checking account,24, critical account/ other credits existing (not at this bank), radio/television,2578, rich, more than 7 years,2," male, single", none,2," car or other, not in attribute 6",34, none, own,1, skilled employee / official,1, none, yes,1
568, little,48, existing credits paid back duly till now, radio/television,3979, unknown/ no savings account, 4 to 7 years,4," male, single", none,1," car or other, not in attribute 6",41, none, own,2, skilled employee / official,2, yes, yes,1
569, poor,48, existing credits paid back duly till now, radio/television,6758, little, 1 to 4 years,3," female, divorced/separated/married", none,2," car or other, not in attribute 6",31, none, own,1, skilled employee / official,1, yes, yes,2
570, poor,24, existing credits paid back duly till now, furniture/equipment,3234, little, less than 1 year,4," female, divorced/separated/married", none,4, real estate,23, none, rent,1, unskilled - resident,1, yes, yes,2
571, no checking account,30, critical account/ other credits existing (not at this bank), radio/television,5954, little, 4 to 7 years,3," male, single", co-applicant,2," car or other, not in attribute 6",38, none, own,1, skilled employee / official,1, none, yes,1
572, no checking account,24, existing credits paid back duly till now, car (used),5433, unknown/ no savings account, unemployed,2," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,26, none, rent,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
573, poor,15, existing credits paid back duly till now, business,806, little, 1 to 4 years,4," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,22, none, own,1, unskilled - resident,1, none, yes,1
574, little,9, existing credits paid back duly till now, radio/television,1082, little, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",27, none, own,2, unskilled - resident,1, none, yes,1
575, no checking account,15, critical account/ other credits existing (not at this bank), furniture/equipment,2788, little, 4 to 7 years,2," female, divorced/separated/married", co-applicant,3," car or other, not in attribute 6",24," bank,", own,2, skilled employee / official,1, none, yes,1
576, little,12, existing credits paid back duly till now, radio/television,2930, little, 4 to 7 years,2," female, divorced/separated/married", none,1, real estate,27, none, own,1, skilled employee / official,1, none, yes,1
577, no checking account,24, critical account/ other credits existing (not at this bank), education,1927, unknown/ no savings account, 1 to 4 years,3," female, divorced/separated/married", none,2," car or other, not in attribute 6",33, none, own,2, skilled employee / official,1, yes, yes,1
578, little,36, critical account/ other credits existing (not at this bank), car (new),2820, little, less than 1 year,4," male, divorced/separated", none,4," car or other, not in attribute 6",27, none, own,2, skilled employee / official,1, none, yes,2
579, no checking account,24, existing credits paid back duly till now, retraining,937, little, less than 1 year,4," male, married/widowed", none,3," car or other, not in attribute 6",27, none, own,2, unskilled - resident,1, none, yes,1
580, little,18, critical account/ other credits existing (not at this bank), car (new),1056, little, more than 7 years,3," male, single", guarantor,3, real estate,30," bank,", own,2, skilled employee / official,1, none, yes,2
581, little,12, critical account/ other credits existing (not at this bank), car (new),3124, little, less than 1 year,1," male, single", none,3, real estate,49," bank,", own,2, unskilled - resident,2, none, yes,1
582, no checking account,9, existing credits paid back duly till now, furniture/equipment,1388, little, 1 to 4 years,4," female, divorced/separated/married", none,2, real estate,26, none, rent,1, skilled employee / official,1, none, yes,1
583, little,36, existing credits paid back duly till now, repairs,2384, little, less than 1 year,4," male, single", none,1, unknown / no property,33, none, rent,1, unskilled - resident,1, none, yes,2
584, no checking account,12, existing credits paid back duly till now, car (new),2133, unknown/ no savings account, more than 7 years,4," female, divorced/separated/married", none,4, unknown / no property,52, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
585, poor,18, existing credits paid back duly till now, furniture/equipment,2039, little, 1 to 4 years,1," female, divorced/separated/married", none,4, real estate,20," bank,", rent,1, skilled employee / official,1, none, yes,2
586, poor,9, critical account/ other credits existing (not at this bank), car (new),2799, little, 1 to 4 years,2," male, single", none,2, real estate,36, none, rent,2, skilled employee / official,2, none, yes,1
587, poor,12, existing credits paid back duly till now, furniture/equipment,1289, little, 1 to 4 years,4," male, single", guarantor,1, building society savings agreement/ life insurance,21, none, own,1, unskilled - resident,1, none, yes,1
588, poor,18, existing credits paid back duly till now, domestic appliances,1217, little, 1 to 4 years,4," male, married/widowed", none,3, real estate,47, none, own,1, unskilled - resident,1, yes, yes,2
589, poor,12, critical account/ other credits existing (not at this bank), furniture/equipment,2246, little, more than 7 years,3," male, single", none,3, building society savings agreement/ life insurance,60, none, own,2, skilled employee / official,1, none, yes,2
590, poor,12, critical account/ other credits existing (not at this bank), radio/television,385, little, 4 to 7 years,4," female, divorced/separated/married", none,3, real estate,58, none, own,4, unskilled - resident,1, yes, yes,1
591, little,24, delay in paying off in the past, car (new),1965, unknown/ no savings account, 1 to 4 years,4," female, divorced/separated/married", none,4," car or other, not in attribute 6",42, none, rent,2, skilled employee / official,1, yes, yes,1
592, no checking account,21, existing credits paid back duly till now, business,1572, rich, more than 7 years,4," female, divorced/separated/married", none,4, real estate,36," bank,", own,1, unskilled - resident,1, none, yes,1
593, little,24, existing credits paid back duly till now, car (new),2718, little, 1 to 4 years,3," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,20, none, rent,1, unskilled - resident,1, yes, yes,2
594, poor,24, all credits at this bank paid back duly, others,1358, unknown/ no savings account, more than 7 years,4," male, single", none,3," car or other, not in attribute 6",40, stores, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
595, little,6, all credits at this bank paid back duly, car (new),931, moderate, less than 1 year,1," female, divorced/separated/married", none,1, building society savings agreement/ life insurance,32, stores, own,1, unskilled - resident,1, none, yes,2
596, poor,24, existing credits paid back duly till now, car (new),1442, little, 4 to 7 years,4," female, divorced/separated/married", none,4," car or other, not in attribute 6",23, none, rent,2, skilled employee / official,1, none, yes,2
597, little,24, no credits taken/ all credits paid back duly, business,4241, little, 1 to 4 years,1," male, single", none,4, real estate,36, none, own,3, unskilled - resident,1, yes, yes,2
598, no checking account,18, critical account/ other credits existing (not at this bank), car (new),2775, little, 4 to 7 years,2," male, single", none,2, building society savings agreement/ life insurance,31," bank,", own,2, skilled employee / official,1, none, yes,2
599, no checking account,24, delay in paying off in the past, business,3863, little, 1 to 4 years,1," male, single", none,2, unknown / no property,32, none, for free,1, skilled employee / official,1, none, yes,1
600, little,7, existing credits paid back duly till now, radio/television,2329, little, less than 1 year,1," female, divorced/separated/married", guarantor,1, real estate,45, none, own,1, skilled employee / official,1, none, yes,1
601, little,9, existing credits paid back duly till now, furniture/equipment,918, little, 1 to 4 years,4," female, divorced/separated/married", none,1, building society savings agreement/ life insurance,30, none, own,1, skilled employee / official,1, none, yes,2
602, little,24, all credits at this bank paid back duly, education,1837, little, 4 to 7 years,4," female, divorced/separated/married", none,4, unknown / no property,34," bank,", for free,1, unskilled - resident,1, none, yes,2
603, no checking account,36, existing credits paid back duly till now, furniture/equipment,3349, little, 1 to 4 years,4," female, divorced/separated/married", none,2," car or other, not in attribute 6",28, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
604, moderate,10, existing credits paid back duly till now, furniture/equipment,1275, little, less than 1 year,4," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,23, none, own,1, skilled employee / official,1, none, yes,1
605, poor,24, all credits at this bank paid back duly, furniture/equipment,2828, quite rich, 1 to 4 years,4," male, single", none,4, real estate,22, stores, own,1, skilled employee / official,1, yes, yes,1
606, no checking account,24, critical account/ other credits existing (not at this bank), business,4526, little, 1 to 4 years,3," male, single", none,2, real estate,74, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
607, little,36, existing credits paid back duly till now, radio/television,2671, moderate, 1 to 4 years,4," female, divorced/separated/married", co-applicant,4, unknown / no property,50, none, for free,1, skilled employee / official,1, none, yes,2
608, no checking account,18, existing credits paid back duly till now, radio/television,2051, little, less than 1 year,4," male, single", none,1, real estate,33, none, own,1, skilled employee / official,1, none, yes,1
609, no checking account,15, existing credits paid back duly till now, car (used),1300, unknown/ no savings account, more than 7 years,4," male, single", none,4, unknown / no property,45," bank,", for free,1, skilled employee / official,2, none, yes,1
610, poor,12, existing credits paid back duly till now, domestic appliances,741, moderate, unemployed,4," female, divorced/separated/married", none,3, building society savings agreement/ life insurance,22, none, own,1, skilled employee / official,1, none, yes,2
611, moderate,10, existing credits paid back duly till now, car (new),1240, moderate, more than 7 years,1," female, divorced/separated/married", none,4, unknown / no property,48, none, for free,1, unskilled - resident,2, none, yes,2
612, poor,21, existing credits paid back duly till now, radio/television,3357, rich, less than 1 year,4," female, divorced/separated/married", none,2," car or other, not in attribute 6",29," bank,", own,1, skilled employee / official,1, none, yes,1
613, poor,24, all credits at this bank paid back duly, car (used),3632, little, 1 to 4 years,1," female, divorced/separated/married", guarantor,4," car or other, not in attribute 6",22," bank,", rent,1, skilled employee / official,1, none, no,1
614, no checking account,18, delay in paying off in the past, furniture/equipment,1808, little, 4 to 7 years,4," female, divorced/separated/married", none,1, real estate,22, none, own,1, skilled employee / official,1, none, yes,2
615, little,48, no credits taken/ all credits paid back duly, business,12204, unknown/ no savings account, 1 to 4 years,2," male, single", none,2," car or other, not in attribute 6",48," bank,", own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
616, little,60, delay in paying off in the past, radio/television,9157, unknown/ no savings account, 1 to 4 years,2," male, single", none,2, unknown / no property,27, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, none, yes,1
617, poor,6, critical account/ other credits existing (not at this bank), car (new),3676, little, 1 to 4 years,1," male, single", none,3, real estate,37, none, rent,3, skilled employee / official,2, none, yes,1
618, little,30, existing credits paid back duly till now, furniture/equipment,3441, moderate, 1 to 4 years,2," female, divorced/separated/married", co-applicant,4," car or other, not in attribute 6",21, none, rent,1, skilled employee / official,1, none, yes,2
619, no checking account,12, existing credits paid back duly till now, car (new),640, little, 1 to 4 years,4," male, divorced/separated", none,2, real estate,49, none, own,1, unskilled - resident,1, none, yes,1
620, little,21, critical account/ other credits existing (not at this bank), business,3652, little, 4 to 7 years,2," male, single", none,3, building society savings agreement/ life insurance,27, none, own,2, skilled employee / official,1, none, yes,1
621, no checking account,18, critical account/ other credits existing (not at this bank), car (new),1530, little, 1 to 4 years,3," male, single", none,2, building society savings agreement/ life insurance,32," bank,", own,2, skilled employee / official,1, none, yes,2
622, no checking account,48, existing credits paid back duly till now, business,3914, unknown/ no savings account, 1 to 4 years,4," male, divorced/separated", none,2, real estate,38," bank,", own,1, skilled employee / official,1, none, yes,2
623, poor,12, existing credits paid back duly till now, furniture/equipment,1858, little, less than 1 year,4," female, divorced/separated/married", none,1," car or other, not in attribute 6",22, none, rent,1, skilled employee / official,1, none, yes,1
624, poor,18, existing credits paid back duly till now, radio/television,2600, little, 1 to 4 years,4," male, single", none,4, unknown / no property,65, none, for free,2, skilled employee / official,1, none, yes,2
625, no checking account,15, existing credits paid back duly till now, radio/television,1979, unknown/ no savings account, more than 7 years,4," male, single", none,2," car or other, not in attribute 6",35, none, own,1, skilled employee / official,1, none, yes,1
626, moderate,6, existing credits paid back duly till now, furniture/equipment,2116, little, 1 to 4 years,2," male, single", none,2, real estate,41, none, own,1, skilled employee / official,1, yes, yes,1
627, little,9, all credits at this bank paid back duly, car (new),1437, moderate, 4 to 7 years,2," male, single", none,3, unknown / no property,29, none, own,1, skilled employee / official,1, none, yes,2
628, no checking account,42, critical account/ other credits existing (not at this bank), furniture/equipment,4042, quite rich, 1 to 4 years,4," male, single", none,4, real estate,36, none, own,2, skilled employee / official,1, yes, yes,1
629, no checking account,9, existing credits paid back duly till now, education,3832, unknown/ no savings account, more than 7 years,1," male, single", none,4, real estate,64, none, own,1, unskilled - resident,1, none, yes,1
630, poor,24, existing credits paid back duly till now, radio/television,3660, little, 1 to 4 years,2," female, divorced/separated/married", none,4," car or other, not in attribute 6",28, none, own,1, skilled employee / official,1, none, yes,1
631, poor,18, all credits at this bank paid back duly, furniture/equipment,1553, little, 1 to 4 years,4," male, single", none,3," car or other, not in attribute 6",44," bank,", own,1, skilled employee / official,1, none, yes,2
632, little,15, existing credits paid back duly till now, radio/television,1444, unknown/ no savings account, less than 1 year,4," male, single", none,1, building society savings agreement/ life insurance,23, none, own,1, skilled employee / official,1, none, yes,1
633, no checking account,9, existing credits paid back duly till now, furniture/equipment,1980, little, less than 1 year,2," female, divorced/separated/married", co-applicant,2," car or other, not in attribute 6",19, none, rent,2, skilled employee / official,1, none, yes,2
634, little,24, existing credits paid back duly till now, car (new),1355, little, less than 1 year,3," female, divorced/separated/married", none,4," car or other, not in attribute 6",25, none, own,1, unskilled - resident,1, yes, yes,2
635, no checking account,12, existing credits paid back duly till now, education,1393, little, more than 7 years,4," male, single", none,4, building society savings agreement/ life insurance,47," bank,", own,3, skilled employee / official,2, yes, yes,1
636, no checking account,24, existing credits paid back duly till now, radio/television,1376, quite rich, 4 to 7 years,4," female, divorced/separated/married", none,1," car or other, not in attribute 6",28, none, own,1, skilled employee / official,1, none, yes,1
637, no checking account,60, delay in paying off in the past, radio/television,15653, little, 4 to 7 years,2," male, single", none,4," car or other, not in attribute 6",21, none, own,2, skilled employee / official,1, yes, yes,1
638, no checking account,12, existing credits paid back duly till now, radio/television,1493, little, less than 1 year,4," female, divorced/separated/married", none,3," car or other, not in attribute 6",34, none, own,1, skilled employee / official,2, none, yes,1
639, poor,42, delay in paying off in the past, radio/television,4370, little, 4 to 7 years,3," male, single", none,2, building society savings agreement/ life insurance,26," bank,", own,2, skilled employee / official,2, yes, yes,2
640, poor,18, existing credits paid back duly till now, education,750, little, unemployed,4," female, divorced/separated/married", none,1, real estate,27, none, own,1, unemployed/ unskilled - non-resident,1, none, yes,2
641, little,15, existing credits paid back duly till now, repairs,1308, little, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",38, none, own,2, unskilled - resident,1, none, yes,1
642, no checking account,15, existing credits paid back duly till now, education,4623, moderate, 1 to 4 years,3," male, single", none,2, building society savings agreement/ life insurance,40, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
643, no checking account,24, critical account/ other credits existing (not at this bank), radio/television,1851, little, 4 to 7 years,4," male, married/widowed", guarantor,2," car or other, not in attribute 6",33, none, own,2, skilled employee / official,1, yes, yes,1
644, poor,18, critical account/ other credits existing (not at this bank), radio/television,1880, little, 4 to 7 years,4," male, married/widowed", none,1, building society savings agreement/ life insurance,32, none, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
645, no checking account,36, delay in paying off in the past, business,7980, unknown/ no savings account, less than 1 year,4," male, single", none,4," car or other, not in attribute 6",27, none, rent,2, skilled employee / official,1, yes, yes,2
646, poor,30, no credits taken/ all credits paid back duly, furniture/equipment,4583, little, 1 to 4 years,2," male, divorced/separated", guarantor,2, real estate,32, none, own,2, skilled employee / official,1, none, yes,1
647, no checking account,12, existing credits paid back duly till now, car (new),1386, quite rich, 1 to 4 years,2," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,26, none, own,1, skilled employee / official,1, none, yes,2
648, moderate,24, existing credits paid back duly till now, car (new),947, little, 4 to 7 years,4," male, single", none,3, unknown / no property,38," bank,", for free,1, skilled employee / official,2, none, yes,2
649, poor,12, existing credits paid back duly till now, education,684, little, 1 to 4 years,4," male, single", none,4," car or other, not in attribute 6",40, none, rent,1, unskilled - resident,2, none, yes,2
650, poor,48, existing credits paid back duly till now, education,7476, little, 4 to 7 years,4," male, single", none,1, unknown / no property,50, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
651, little,12, existing credits paid back duly till now, furniture/equipment,1922, little, 1 to 4 years,4," male, single", none,2, building society savings agreement/ life insurance,37, none, own,1, unskilled - resident,1, none, yes,2
652, poor,24, existing credits paid back duly till now, car (new),2303, little, more than 7 years,4," male, single", co-applicant,1, real estate,45, none, own,1, skilled employee / official,1, none, yes,2
653, little,36, delay in paying off in the past, car (new),8086, moderate, more than 7 years,2," male, single", none,4," car or other, not in attribute 6",42, none, own,4, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
654, no checking account,24, critical account/ other credits existing (not at this bank), car (used),2346, little, 4 to 7 years,4," male, single", none,3," car or other, not in attribute 6",35, none, own,2, skilled employee / official,1, yes, yes,1
655, poor,14, existing credits paid back duly till now, car (new),3973, little, unemployed,1," male, single", none,4, unknown / no property,22, none, for free,1, skilled employee / official,1, none, yes,1
656, little,12, existing credits paid back duly till now, car (new),888, little, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",41," bank,", own,1, unskilled - resident,2, none, yes,2
657, no checking account,48, existing credits paid back duly till now, radio/television,10222, unknown/ no savings account, 4 to 7 years,4," male, single", none,3," car or other, not in attribute 6",37, stores, own,1, skilled employee / official,1, yes, yes,1
658, little,30, no credits taken/ all credits paid back duly, business,4221, little, 1 to 4 years,2," female, divorced/separated/married", none,1," car or other, not in attribute 6",28, none, own,2, skilled employee / official,1, none, yes,1
659, little,18, critical account/ other credits existing (not at this bank), furniture/equipment,6361, little, more than 7 years,2," male, single", none,1, unknown / no property,41, none, own,1, skilled employee / official,1, yes, yes,1
660, moderate,12, existing credits paid back duly till now, radio/television,1297, little, 1 to 4 years,3," male, married/widowed", none,4, real estate,23, none, rent,1, skilled employee / official,1, none, yes,1
661, poor,12, existing credits paid back duly till now, car (new),900, unknown/ no savings account, 1 to 4 years,4," male, married/widowed", none,2," car or other, not in attribute 6",23, none, own,1, skilled employee / official,1, none, yes,2
662, no checking account,21, existing credits paid back duly till now, furniture/equipment,2241, little, more than 7 years,4," male, single", none,2, real estate,50, none, own,2, skilled employee / official,1, none, yes,1
663, little,6, delay in paying off in the past, furniture/equipment,1050, little, unemployed,4," male, single", none,1, building society savings agreement/ life insurance,35, stores, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
664, moderate,6, critical account/ other credits existing (not at this bank), education,1047, little, 1 to 4 years,2," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,50, none, own,1, unskilled - resident,1, none, yes,1
